points : A
(-0.846852, 0.107965, -0.520755)1.5(0,0.7,0)
(0.962222, 0.26494, -0.0627278)1.5(0,0.7,0)
(-0.281208, 0.743764, 0.606413)1.5(0,0.7,0)
(0.453376, -0.599143, 0.659907)1.5(1.,0,0)
(0.731049, 0.0470054, -0.680704)1.5(1.,0,0)
(-0.747892, -0.630055, -0.209015)1.5(0,0.7,0)
(-0.511911, -0.484934, 0.709074)1.5(1.,0,0)
(-0.0865854, -0.607314, -0.78973)1.5(0,0.7,0)
(-0.968551, -0.240851, 0.0624474)1.5(0,0.7,0)
(0.433958, 0.620378, 0.653309)1.5(1.,0,0)
(-0.890739, 0.435128, -0.131332)1.5(0,0.7,0)
(-0.308562, -0.924284, 0.224695)1.5(1.,0,0)
(0.682675, 0.72915, 0.047909)1.5(1.,0,0)
(-0.411213, 0.780636, 0.47065)1.5(1.,0,0)
(0.729437, 0.681144, 0.0629654)1.5(1.,0,0)
(-0.800936, -0.0849152, -0.592698)1.5(0,0.7,0)
(0.668347, -0.535798, 0.515978)1.5(1.,0,0)
(0.438354, 0.633697, 0.637396)1.5(1.,0,0)
(0.397558, -0.383521, -0.833582)1.5(1.,0,0)
(-0.327302, 0.549182, -0.768943)1.5(0,0.7,0)
(-0.269116, -0.883169, 0.384172)1.5(0,0.7,0)
(-0.566531, -0.627074, 0.534623)1.5(1.,0,0)
(-0.677172, -0.686209, 0.265622)1.5(1.,0,0)
(0.425555, 0.751488, 0.504151)1.5(1.,0,0)
(-0.0393559, -0.769932, 0.636911)1.5(0,0.7,0)
(-0.0697467, -0.0929618, 0.993224)1.5(1.,0,0)
(0.51762, -0.829504, 0.209743)1.5(0,0.7,0)
(-0.405064, 0.829462, 0.384598)1.5(1.,0,0)
(0.189569, -0.363037, -0.912287)1.5(0,0.7,0)
(-0.661092, -0.179998, 0.728394)1.5(1.,0,0)
(0.0310417, 0.889188, 0.456487)1.5(0,0.7,0)
(-0.388324, -0.832319, 0.395537)1.5(1.,0,0)
(-0.0168781, -0.90916, 0.416104)1.5(0,0.7,0)
(0.00841325, -0.616998, 0.786919)1.5(0,0.7,0)
(-0.62413, 0.705438, 0.335886)1.5(1.,0,0)
(-0.411783, -0.153553, -0.898252)1.5(0,0.7,0)
(0.765523, 0.300537, -0.568904)1.5(0,0.7,0)
(0.750718, 0.640128, 0.163274)1.5(0,0.7,0)
(-0.563861, -0.588449, 0.579472)1.5(1.,0,0)
(-0.0716224, -0.997367, 0.0113553)1.5(1.,0,0)
(0.695367, -0.282949, -0.66061)1.5(1.,0,0)
(0.213783, 0.56675, 0.795671)1.5(0,0.7,0)
(0.506489, -0.0563849, -0.860401)1.5(0,0.7,0)
(-0.224854, 0.569287, -0.790793)1.5(0,0.7,0)
(0.0946738, 0.906916, -0.410536)1.5(0,0.7,0)
(-0.540094, 0.613894, 0.575702)1.5(1.,0,0)
(0.301678, -0.937737, -0.172162)1.5(0,0.7,0)
(-0.303609, 0.842641, -0.444722)1.5(0,0.7,0)
(-0.0819151, -0.425634, 0.90118)1.5(0,0.7,0)
